Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text
"San Francisco, CA","Create a 1500 word piece on the given city following the headings found in the style guide. Remember to spell-check names of people, cities, neighborhoods, etc, and fact-check any information you include in the article. Thanks!",,,,,
"Houston, TX","Create a 1500 word piece on the given city following the headings found in the style guide. Remember to spell-check names of people, cities, neighborhoods, etc, and fact-check any information you include in the article. Thanks!",,,,,
"Nashville, TN","Create a 1500 word piece on the given city following the headings found in the style guide. Remember to spell-check names of people, cities, neighborhoods, etc, and fact-check any information you include in the article. Thanks!",,,,,
"London, United Kingdom","Create a 1500 word piece on the given city following the headings found in the style guide. Remember to spell-check names of people, cities, neighborhoods, etc, and fact-check any information you include in the article. Thanks!",,,,,
"Saint Louis, MO","Create a 1500 word piece on the given city following the headings found in the style guide. Remember to spell-check names of people, cities, neighborhoods, etc, and fact-check any information you include in the article. Thanks!",,,,,
"Cancun, Mexico","Create a 1500 word piece on the given city following the headings found in the style guide. Remember to spell-check names of people, cities, neighborhoods, etc, and fact-check any information you include in the article. Thanks!",,,,,
"Fort Lauderdale, FL","Create a 1500 word piece on the given city following the headings found in the style guide. Remember to spell-check names of people, cities, neighborhoods, etc, and fact-check any information you include in the article. Thanks!",,,,,
"Virginia Beach, VA","Create a 1500 word piece on the given city following the headings found in the style guide. Remember to spell-check names of people, cities, neighborhoods, etc, and fact-check any information you include in the article. Thanks!",,,,,
"Denver, CO","Create a 1500 word piece on the given city following the headings found in the style guide. Remember to spell-check names of people, cities, neighborhoods, etc, and fact-check any information you include in the article. Thanks!",,,,,
"Charlotte, NC","Create a 1500 word piece on the given city following the headings found in the style guide. Remember to spell-check names of people, cities, neighborhoods, etc, and fact-check any information you include in the article. Thanks!",,,,,
"Savannah, GA","Create a 1500 word piece on the given city following the headings found in the style guide. Remember to spell-check names of people, cities, neighborhoods, etc, and fact-check any information you include in the article. Thanks!",,,,,
"Memphis, TN","Create a 1500 word piece on the given city following the headings found in the style guide. Remember to spell-check names of people, cities, neighborhoods, etc, and fact-check any information you include in the article. Thanks!",,,,,
"Toronto, ON","Create a 1500 word piece on the given city following the headings found in the style guide. Remember to spell-check names of people, cities, neighborhoods, etc, and fact-check any information you include in the article. Thanks!",,,,,
"Montreal, QC","Create a 1500 word piece on the given city following the headings found in the style guide. Remember to spell-check names of people, cities, neighborhoods, etc, and fact-check any information you include in the article. Thanks!",,,,,
"Seattle, WA","Create a 1500 word piece on the given city following the headings found in the style guide. Remember to spell-check names of people, cities, neighborhoods, etc, and fact-check any information you include in the article. Thanks!",,,,,
