Product  SKU,Product Title,Colour,Website,Bullet Point 1,Bullet Point 2,Bullet Point 3
77236,Selected Classic Mac,Black,http://www.republic.co.uk/,,,
27445,Amplified Florence & The Machine Vest Dress,Dark grey,http://www.republic.co.uk/,,,
96344,Jack & Jones Premium Cotton Duffel Cardigan,Green,http://www.republic.co.uk/,,,
59808,Selected Dublin Smart Boots,Black,http://www.republic.co.uk/,,,
25081,Frock & Frill Vintage Dropped Waist Dress,Beige,http://www.republic.co.uk/,,,
68963,Soul Cal Deluxe Marl Snood Scarf,Pink,http://www.republic.co.uk/,,,
58949,Soul Cal Deluxe Striped Slouch Hat,Burgundy,http://www.republic.co.uk/,,,
72553,Gio Goi Ancantha Joggers,Dark blue,http://www.republic.co.uk/,,,
25082,Frock & Frill Beaded Dress,Beige,http://www.republic.co.uk/,,,
59748,Onitsuka Tiger Leather Fabre Hi-Tops,Grey,http://www.republic.co.uk/,,,
59749,Onitsuka Tiger Suede Fabre Hi-Tops,Red,http://www.republic.co.uk/,,,
59750,Onitsuka Tiger Suede Fabre Hi-Tops,Dark grey,http://www.republic.co.uk/,,,
59755,Onitsuka Tiger Runspark Track Shoes,Blue,http://www.republic.co.uk/,,,
62292,AX Paris Sequin Crochet Dress,Black,http://www.republic.co.uk/,,,
25083,Frock & Frill Beaded Prom Dress,Black,http://www.republic.co.uk/,,,
78274,Mi-Pac 2 Tone Bag,Black,http://www.republic.co.uk/,,,
96298,G-Star Preppy Jumper,Blue,http://www.republic.co.uk/,,,
62937,Lipsy Trim Shift Dress,Purple,http://www.republic.co.uk/,,,
77164,G-Star Anchor Jacket,Blue,http://www.republic.co.uk/,,,
62927,Lipsy Peplum Dress,Red,http://www.republic.co.uk/,,,
53270,G-Star CL Karter Hoodie,Blue,http://www.republic.co.uk/,,,
62935,Lipsy Sequin Playsuit,Black,http://www.republic.co.uk/,,,
75324,G-Star Harding T-Shirt,Grey,http://www.republic.co.uk/,,,
96300,G-Star Funnel Neck Jumper,Blue,http://www.republic.co.uk/,,,
96301,G-Star Grade Jumepr,Green,http://www.republic.co.uk/,,,
