article_id,keyword_id,checking_url,keyword,campaign_name,user_name,editor,detected_date
173273,173273,https://content.copypress.com/article/article_comment_list.php?article_id=151996,"Kicker K35 2002 2-Way 3.5&quot; Car Speaker",eBay: PDPs 1.9 July '12 (FINAL BATCH),aliciarades,michaelsanchez,2012-07-23 20:15:01
173277,173277,https://content.copypress.com/article/article_comment_list.php?article_id=151992,"Ultra Linear UL-D612 1-Way 12&quot; Car Subwoofer",eBay: PDPs 1.9 July '12 (FINAL BATCH),darcychadwick,michaelsanchez,2012-07-24 21:40:02
