campaign_name,campaign_id,article_type,total_word,total_word_for_editor,total_article_for_editor,total_word_for_writer,total_article_for_writer,pay_total_words_for_editor,pay_total_words_for_writer,pay_total_articles_for_editor,pay_total_articles_for_writer,cost,article_type_name
CelebrityClothingLine.com Newsroom-STOPPED,887,0,24936,12468,36,12468,36,12468,12468,0,0,$498.72,Type 1 - old
Pronet Newsroom-STOPPED,888,0,7310,3655,12,3655,12,3655,3655,0,0,$146.2,Type 1 - old
HipHop Newsroom Monthly Recurring Content-STOPPED,889,0,5362,2681,9,2681,9,2681,2681,0,0,$107.24,Type 1 - old
SEJ Recurring Content-STOPPED,2595,1,21668,10834,35,10834,35,10834,10834,0,0,$433.36,Type 2 - old
Pharmacology Recurring-STOPPED,4690,0,618,309,1,309,1,309,309,0,0,$12.36,Type 1 - old
ABM Pharmacology June/July11 Blog Posts,4764,17,1984,992,2,992,2,992,992,0,0,$29.76,Blog Posts
ABM RV Insurance Blog Posts June/July 11 Jane,4765,17,2452,1226,4,1226,4,1226,1226,0,0,$36.78,Blog Posts
