Campaign Name,Campaign Id,Article Type,Editor Cost,Client Id,Max Word,Company Name,User Name,Cp Cost,Pay By Article,Cp Article Cost,Editor Article Cost,Nofa,Estimate Money,Estimate Total,Assigned Words
Lake Buena Vista--FL--US--Hotel Properties,9603,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,18,$0,0,0
Lake Buena Vista--FL--US--Flight Destination,9604,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$24,28,400
Lake Buena Vista--FL--US--Hotel Destination,9605,122,0.010,350,600,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$36,42,600
Lake Buena Vista--FL--US--Near Landmark,9606,122,0.010,350,200,Hipmunk,Hipmunk,0.060,0,0.000,0.000,2,$24,28,400
Lake Buena Vista--FL--US--Best Of,9608,122,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$72,84,1200
Key West--FL--US--Near Neighborhood,9609,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,4,$72,84,1200
Key West--FL--US--Near Landmark,9610,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Key West--FL--US--Flight Destination,9611,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Key West--FL--US--Near Airport,9613,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Key West--FL--US--Best Of,9614,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
Kissimmee--FL--US--Near Landmark,9615,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Kissimmee--FL--US--Flight Destination,9616,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Kissimmee--FL--US--Near Airport,9617,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Kissimmee--FL--US--Best Of,9618,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
New York--NY--US--Hotel Destination,9619,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
Las Vegas--NV--US--Hotel Destination,9620,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
London--None--GB--Hotel Destination,9621,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
Paris--None--FR--Hotel Destination,9622,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
San Francisco--CA--US--Hotel Destination,9623,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
Chicago--IL--US--Hotel Destination,9624,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
Honolulu--HI--US--Hotel Destination,9625,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
Rome--None--IT--Hotel Destination,9626,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
Orlando--FL--US--Hotel Destination,9627,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
Miami Beach--FL--US--Hotel Destination,9628,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
San Diego--CA--US--Hotel Destination,9629,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
Barcelona--None--ES--Hotel Destination,9630,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
Boston--MA--US--Hotel Destination,9631,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
Cancun--None--MX--Hotel Destination,9632,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
Singapore--None--SG--Hotel Destination,9633,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
Dubai--None--AE--Hotel Destination,9634,13,0.010,350,2500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$150,175,2500
Los Angeles--CA--US--Hotel Destination,9635,120,0.010,350,2500,Hipmunk,Hipmunk,0.200,0,0.000,0.000,1,$500,525,2500
Amsterdam--None--NL--Hotel Destination,9636,121,0.010,350,2500,Hipmunk,Hipmunk,0.250,0,0.000,0.000,1,$625,650,2500
Daytona Beach Shores--FL--US--Hotel Destination,9637,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
New Orleans--LA--US--Top Hotel Properties,9686,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
New Orleans--LA--US--Hotel Properties,9687,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
New Orleans--LA--US--Flight Destination,9688,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
New Orleans--LA--US--Hotel Destination,9689,119,0.010,350,1250,Hipmunk,Hipmunk,0.150,0,0.000,0.000,1,$187.5,200,1250
New Orleans--LA--US--Near Landmark,9690,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
New Orleans--LA--US--Near Neighborhood,9691,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$108,126,1800
New Orleans--LA--US--Near Airport,9692,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
New Orleans--LA--US--Best Of,9693,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
Memphis--TN--US--Near Neighborhood,9694,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$108,126,1800
Memphis--TN--US--Near Landmark,9695,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Memphis--TN--US--Hotel Destination,9696,129,0.010,350,1250,Hipmunk,Hipmunk,0.500,0,0.000,0.000,1,$625,637.5,1250
Memphis--TN--US--Flight Destination,9697,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Memphis--TN--US--Near Airport,9698,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Memphis--TN--US--Best Of,9699,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
Arlington--VA--US--Near Neighborhood,9700,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,5,$90,105,1500
Arlington--VA--US--Near Landmark,9701,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Arlington--VA--US--Hotel Destination,9702,121,0.010,350,1250,Hipmunk,Hipmunk,0.250,0,0.000,0.000,1,$312.5,325,1250
Arlington--VA--US--Flight Destination,9703,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Arlington--VA--US--Best Of,9706,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
Myrtle Beach--SC--US--Near Neighborhood,9707,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,5,$90,105,1500
Myrtle Beach--SC--US--Near Landmark,9708,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Myrtle Beach--SC--US--Flight Destination,9709,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Myrtle Beach--SC--US--Near Airport,9710,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Atlantic City--NJ--US--Near Neighborhood,9712,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,5,$90,105,1500
Atlantic City--NJ--US--Hotel Destination,9714,121,0.010,350,1250,Hipmunk,Hipmunk,0.250,0,0.000,0.000,1,$312.5,325,1250
Atlantic City--NJ--US--Flight Destination,9715,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Atlantic City--NJ--US--Near Airport,9716,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Lahaina--HI--US--Best Of,9718,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
Scottsdale--AZ--US--Near Neighborhood,9719,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,4,$72,84,1200
Lahaina--HI--US--Near Airport,9720,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Scottsdale--AZ--US--Near Landmark,9721,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Scottsdale--AZ--US--Flight Destination,9724,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Lahaina--HI--US--Near Landmark,9725,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Scottsdale--AZ--US--Near Airport,9727,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Lahaina--HI--US--Hotel Properties,9728,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Scottsdale--AZ--US--Best Of,9729,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
Lahaina--HI--US--Hotel Destination,9733,119,0.010,350,1250,Hipmunk,Hipmunk,0.150,0,0.000,0.000,1,$187.5,200,1250
Dallas--TX--US--Best Of,9736,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
