campaign_name,campaign_id,article_type,total_word,total_word_for_editor,total_article_for_editor,total_word_for_writer,total_article_for_writer,pay_total_words_for_editor,pay_total_words_for_writer,pay_total_articles_for_editor,pay_total_articles_for_writer,cost,article_type_name
CelebrityClothingLine.com Newsroom-STOPPED,887,0,24984,12492,36,12492,36,12492,12492,0,0,$499.68,Type 1 - old
Pronet Newsroom-STOPPED,888,0,18034,9017,29,9017,29,9017,9017,0,0,$360.68,Type 1 - old
Pharmacology Recurring-STOPPED,4690,0,17462,8731,28,8731,28,8731,8731,0,0,$349.24,Type 1 - old
