campaign_name,campaign_id,article_type,total_word,total_word_for_editor,total_article_for_editor,total_word_for_writer,total_article_for_writer,pay_total_words_for_editor,pay_total_words_for_writer,pay_total_articles_for_editor,pay_total_articles_for_writer,cost,article_type_name
CelebrityClothingLine.com Newsroom-STOPPED,887,0,20376,10188,30,10188,30,10188,10188,0,0,$407.52,Type 1 - old
Pronet Newsroom-STOPPED,888,0,12238,6119,20,6119,20,6119,6119,0,0,$244.76,Type 1 - old
HipHop Newsroom Monthly Recurring Content-STOPPED,889,0,1208,604,2,604,2,604,604,0,0,$24.16,Type 1 - old
Pharmacology Recurring-STOPPED,4690,0,4974,2487,8,2487,8,2487,2487,0,0,$99.48,Type 1 - old
