Keyword,Sub Keywords,Topic
children's glasses,"glasses for kids, eyeglass frames for kids, kids frames for glasses, kid's eyeglasses",Choosing Glasses for Kids
sports glasses,"sports eyewear, eyewear for sports, prescription sports glasses",Finding Sports Glasses for Athletes
free eye exam,"free eye exams, eye exam, eye exams, vision examination",How to Get Your Vision Checked for Free
brand name glasses,"designer eyeglasses, designer frames, designer eyglass frames",Finding Great Brand Name Glasses
safety glasses,"prescription safety lenses, safety glasses with prescription lenses, protective eyewear",Safety Glasses Don't Have to be Dull and Boring
contact lenses,"colored contact lenses, colored prescription contacts",Fun and Funky Contact Lenses
eye doctor,"optometrist, Doctor of Optometry, eyeglasses doctor",Doctor of Optometry; Eye Doctor Extraordinaire!
