eBay URL,Google search URL,Product Title
http://catalog.ebay.com/97353069,http://www.google.com/search?q=Libec LS100M2A Tripod,Libec LS100M2A Tripod
http://catalog.ebay.com/97353079,http://www.google.com/search?q=Libec T101 Tripod,Libec T101 Tripod
http://catalog.ebay.com/97353099,http://www.google.com/search?q=Slik 611-613 Tripod,Slik 611-613 Tripod
http://catalog.ebay.com/97353109,http://www.google.com/search?q=Slik 617520 Tripod,Slik 617520 Tripod
http://catalog.ebay.com/97353129,http://www.google.com/search?q=Gemini Sound Products 686-0366fb Tripod,Gemini Sound Products 686-0366fb Tripod
http://catalog.ebay.com/97353139,http://www.google.com/search?q=Vanguard VT-558 Tripod,Vanguard VT-558 Tripod
http://catalog.ebay.com/97353149,http://www.google.com/search?q=Axis Communications 18616 Monopod,Axis Communications 18616 Monopod
http://catalog.ebay.com/97353169,http://www.google.com/search?q=Vanguard OPTIK-2 Tripod,Vanguard OPTIK-2 Tripod
http://catalog.ebay.com/97353179,http://www.google.com/search?q=Vanguard DHAK3 Tripod,Vanguard DHAK3 Tripod
http://catalog.ebay.com/97353189,http://www.google.com/search?q=Vanguard TOURIST-1 Tripod,Vanguard TOURIST-1 Tripod
http://catalog.ebay.com/97353199,http://www.google.com/search?q=Impact 807 Tripod,Impact 807 Tripod
http://catalog.ebay.com/97353209,http://www.google.com/search?q=Manfrotto 3069 Tripod,Manfrotto 3069 Tripod
http://catalog.ebay.com/97353219,http://www.google.com/search?q=Sunpak 620-620BB Tripod,Sunpak 620-620BB Tripod
http://catalog.ebay.com/97353221,http://www.google.com/search?q=Cartoni k712 Tripod,Cartoni k712 Tripod
http://catalog.ebay.com/97353229,http://www.google.com/search?q=Bogen Communication 556B Tripod,Bogen Communication 556B Tripod
http://catalog.ebay.com/97353231,"http://www.google.com/search?q=Manfrotto 681B,3229 Monopod ","Manfrotto 681B,3229 Monopod "
http://catalog.ebay.com/97353239,http://www.google.com/search?q=Howard Miller 1407 Tripod,Howard Miller 1407 Tripod
http://catalog.ebay.com/97353241,http://www.google.com/search?q=Giottos 400289 Tripod,Giottos 400289 Tripod
http://catalog.ebay.com/97353249,http://www.google.com/search?q=Slik 615630 Monopod,Slik 615630 Monopod
http://catalog.ebay.com/97353251,http://www.google.com/search?q=Cullmann 50009 Tripod,Cullmann 50009 Tripod
http://catalog.ebay.com/97353259,http://www.google.com/search?q=Vanguard Tracker 1 Tripod,Vanguard Tracker 1 Tripod
http://catalog.ebay.com/97353261,http://www.google.com/search?q=Berlebach BE3032 Tripod,Berlebach BE3032 Tripod
http://catalog.ebay.com/97353269,http://www.google.com/search?q=Slik 612212 Tripod,Slik 612212 Tripod
http://catalog.ebay.com/97353279,http://www.google.com/search?q=Varizoom stealthpod Monopod,Varizoom stealthpod Monopod
http://catalog.ebay.com/97353281,http://www.google.com/search?q=Hakuba HCFPPK Tripod,Hakuba HCFPPK Tripod
http://catalog.ebay.com/97353289,http://www.google.com/search?q=Amvona AT0500 Tripod,Amvona AT0500 Tripod
http://catalog.ebay.com/97353299,http://www.google.com/search?q=Adorama SQ800M Tripod,Adorama SQ800M Tripod
http://catalog.ebay.com/97353301,http://www.google.com/search?q=Cartoni d605 Tripod,Cartoni d605 Tripod
http://catalog.ebay.com/97353319,http://www.google.com/search?q=Vanguard DIGI-12 Tripod,Vanguard DIGI-12 Tripod
http://catalog.ebay.com/97353321,http://www.google.com/search?q=Cartoni k711 Tripod,Cartoni k711 Tripod
http://catalog.ebay.com/97353331,http://www.google.com/search?q=Vanguard VS-34 Tripod,Vanguard VS-34 Tripod
http://catalog.ebay.com/97353339,http://www.google.com/search?q=Howard Miller 935 Tripod,Howard Miller 935 Tripod
http://catalog.ebay.com/97353341,http://www.google.com/search?q=Targus TG-QR7 Tripod,Targus TG-QR7 Tripod
http://catalog.ebay.com/97353349,http://www.google.com/search?q=Zhumell ZHWDF4 Tripod,Zhumell ZHWDF4 Tripod
http://catalog.ebay.com/97353351,http://www.google.com/search?q=Bencher 852-07 Tripod,Bencher 852-07 Tripod
http://catalog.ebay.com/97353359,http://www.google.com/search?q=Slik 611-820 Tripod,Slik 611-820 Tripod
http://catalog.ebay.com/97353361,http://www.google.com/search?q=Cullmann 3081 Monopod,Cullmann 3081 Monopod
http://catalog.ebay.com/97353369,http://www.google.com/search?q=Gitzo G1500 Tripod,Gitzo G1500 Tripod
http://catalog.ebay.com/97353371,http://www.google.com/search?q=Gitzo GT2542L Tripod ,Gitzo GT2542L Tripod 
http://catalog.ebay.com/97353379,http://www.google.com/search?q=Hama HA4001 Tripod,Hama HA4001 Tripod
http://catalog.ebay.com/97353381,http://www.google.com/search?q=One Source Network OS-900 Tripod,One Source Network OS-900 Tripod
http://catalog.ebay.com/97353389,http://www.google.com/search?q=Gitzo G1507 Tripod,Gitzo G1507 Tripod
http://catalog.ebay.com/97353391,http://www.google.com/search?q=Libec LS382A Tripod ,Libec LS382A Tripod 
http://catalog.ebay.com/97353401,http://www.google.com/search?q=Bogen Imaging 055XB484RC2 Tripod,Bogen Imaging 055XB484RC2 Tripod
