EPID,CPID,eBay URL,Google search URL,Category Name,Catalog ID,Catalog Name,Product Title,PK,SK1,SK2,Desription
97352819,1413331421,http://catalog.ebay.com/97352819,http://www.google.com/search?q=Giottos MT 8170 Tripod,Cameras & Photo,772,Tripods,Giottos MT 8170 Tripod,,,,
97352829,1413331323,http://catalog.ebay.com/97352829,"http://www.google.com/search?q=Manfrotto 679B,3025 Monopod",Cameras & Photo,772,Tripods,"Manfrotto 679B,3025 Monopod",,,,
97352839,1413331465,http://catalog.ebay.com/97352839,http://www.google.com/search?q=Giottos MG8250B Tripod,Cameras & Photo,772,Tripods,Giottos MG8250B Tripod,,,,
97352849,1413331359,http://catalog.ebay.com/97352849,http://www.google.com/search?q=Sunpak FlexPod Gripper Tripod (Pink/white),Cameras & Photo,772,Tripods,Sunpak FlexPod Gripper Tripod (Pink/white),,,,
97352879,1413331371,http://catalog.ebay.com/97352879,http://www.google.com/search?q=Giottos QU045B Tripod,Cameras & Photo,772,Tripods,Giottos QU045B Tripod,,,,
97352899,1413331391,http://catalog.ebay.com/97352899,http://www.google.com/search?q=Cabela's CAB 361/MG10 Tripod,Cameras & Photo,772,Tripods,Cabela's CAB 361/MG10 Tripod,,,,
97352909,1413331513,http://catalog.ebay.com/97352909,http://www.google.com/search?q=Benro 457069 Tripod,Cameras & Photo,772,Tripods,Benro 457069 Tripod,,,,
97352929,1413331435,http://catalog.ebay.com/97352929,http://www.google.com/search?q=Howard Miller 1311 Tripod,Cameras & Photo,772,Tripods,Howard Miller 1311 Tripod,,,,
97352939,1413331549,http://catalog.ebay.com/97352939,http://www.google.com/search?q=Sunpak FlexPod Click N Stick Monopod (Grey),Cameras & Photo,772,Tripods,Sunpak FlexPod Click N Stick Monopod (Grey),,,,
97352949,1413331557,http://catalog.ebay.com/97352949,http://www.google.com/search?q=Kodak W-1098243 Tripod,Cameras & Photo,772,Tripods,Kodak W-1098243 Tripod,,,,
97352959,1413331447,http://catalog.ebay.com/97352959,http://www.google.com/search?q=Norazza NRZTD140 Monopod,Cameras & Photo,772,Tripods,Norazza NRZTD140 Monopod,,,,
97352969,1413331561,http://catalog.ebay.com/97352969,http://www.google.com/search?q=Giottos GTMT9370 Tripod ,Cameras & Photo,772,Tripods,Giottos GTMT9370 Tripod ,,,,
97352979,1413331451,http://catalog.ebay.com/97352979,http://www.google.com/search?q=Sunpak T40233 Tripod,Cameras & Photo,772,Tripods,Sunpak T40233 Tripod,,,,
97352989,1413331581,http://catalog.ebay.com/97352989,http://www.google.com/search?q=Sunpak 620-5656CC Tripod,Cameras & Photo,772,Tripods,Sunpak 620-5656CC Tripod,,,,
97352999,1413331653,http://catalog.ebay.com/97352999,http://www.google.com/search?q=Bushnell 78-3012 Tripod,Cameras & Photo,772,Tripods,Bushnell 78-3012 Tripod,,,,
97353019,1413331527,http://catalog.ebay.com/97353019,http://www.google.com/search?q=Bushnell bl784030 Tripod,Cameras & Photo,772,Tripods,Bushnell bl784030 Tripod,,,,
97353029,1413331701,http://catalog.ebay.com/97353029,http://www.google.com/search?q=Berlebach BE50031 Tripod,Cameras & Photo,772,Tripods,Berlebach BE50031 Tripod,,,,
97353039,1413331531,http://catalog.ebay.com/97353039,http://www.google.com/search?q=Sachtler 6232 Tripod,Cameras & Photo,772,Tripods,Sachtler 6232 Tripod,,,,
97353069,1413331575,http://catalog.ebay.com/97353069,http://www.google.com/search?q=Libec LS100M2A Tripod,Cameras & Photo,772,Tripods,Libec LS100M2A Tripod,,,,
97353079,1413331745,http://catalog.ebay.com/97353079,http://www.google.com/search?q=Libec T101 Tripod,Cameras & Photo,772,Tripods,Libec T101 Tripod,,,,
97353099,1413331659,http://catalog.ebay.com/97353099,http://www.google.com/search?q=Slik 611-613 Tripod,Cameras & Photo,772,Tripods,Slik 611-613 Tripod,,,,
97353109,1413331777,http://catalog.ebay.com/97353109,http://www.google.com/search?q=Slik 617520 Tripod,Cameras & Photo,772,Tripods,Slik 617520 Tripod,,,,
97353129,1413331671,http://catalog.ebay.com/97353129,http://www.google.com/search?q=Gemini Sound Products 686-0366fb Tripod,Cameras & Photo,772,Tripods,Gemini Sound Products 686-0366fb Tripod,,,,
97353139,1413331789,http://catalog.ebay.com/97353139,http://www.google.com/search?q=Vanguard VT-558 Tripod,Cameras & Photo,772,Tripods,Vanguard VT-558 Tripod,,,,
97353149,1413331687,http://catalog.ebay.com/97353149,http://www.google.com/search?q=Axis Communications 18616 Monopod,Cameras & Photo,772,Tripods,Axis Communications 18616 Monopod,,,,
97353169,1413331715,http://catalog.ebay.com/97353169,http://www.google.com/search?q=Vanguard OPTIK-2 Tripod,Cameras & Photo,772,Tripods,Vanguard OPTIK-2 Tripod,,,,
97353179,1413331739,http://catalog.ebay.com/97353179,http://www.google.com/search?q=Vanguard DHAK3 Tripod,Cameras & Photo,772,Tripods,Vanguard DHAK3 Tripod,,,,
97353189,1413331763,http://catalog.ebay.com/97353189,http://www.google.com/search?q=Vanguard TOURIST-1 Tripod,Cameras & Photo,772,Tripods,Vanguard TOURIST-1 Tripod,,,,
97353199,1413331783,http://catalog.ebay.com/97353199,http://www.google.com/search?q=Impact 807 Tripod,Cameras & Photo,772,Tripods,Impact 807 Tripod,,,,
97353209,1413331827,http://catalog.ebay.com/97353209,http://www.google.com/search?q=Manfrotto 3069 Tripod,Cameras & Photo,772,Tripods,Manfrotto 3069 Tripod,,,,
97353219,1413331831,http://catalog.ebay.com/97353219,http://www.google.com/search?q=Sunpak 620-620BB Tripod,Cameras & Photo,772,Tripods,Sunpak 620-620BB Tripod,,,,
97353221,1413330727,http://catalog.ebay.com/97353221,http://www.google.com/search?q=Cartoni k712 Tripod,Cameras & Photo,772,Tripods,Cartoni k712 Tripod,,,,
97353229,1413331797,http://catalog.ebay.com/97353229,http://www.google.com/search?q=Bogen Communication 556B Tripod,Cameras & Photo,772,Tripods,Bogen Communication 556B Tripod,,,,
97353231,1413330731,http://catalog.ebay.com/97353231,"http://www.google.com/search?q=Manfrotto 681B,3229 Monopod ",Cameras & Photo,772,Tripods,"Manfrotto 681B,3229 Monopod ",,,,
97353239,1413331875,http://catalog.ebay.com/97353239,http://www.google.com/search?q=Howard Miller 1407 Tripod,Cameras & Photo,772,Tripods,Howard Miller 1407 Tripod,,,,
97353241,1413330743,http://catalog.ebay.com/97353241,http://www.google.com/search?q=Giottos 400289 Tripod,Cameras & Photo,772,Tripods,Giottos 400289 Tripod,,,,
97353249,1413331813,http://catalog.ebay.com/97353249,http://www.google.com/search?q=Slik 615630 Monopod,Cameras & Photo,772,Tripods,Slik 615630 Monopod,,,,
97353251,1413330775,http://catalog.ebay.com/97353251,http://www.google.com/search?q=Cullmann 50009 Tripod,Cameras & Photo,772,Tripods,Cullmann 50009 Tripod,,,,
97353259,1413331895,http://catalog.ebay.com/97353259,http://www.google.com/search?q=Vanguard Tracker 1 Tripod,Cameras & Photo,772,Tripods,Vanguard Tracker 1 Tripod,,,,
97353261,1413330795,http://catalog.ebay.com/97353261,http://www.google.com/search?q=Berlebach BE3032 Tripod,Cameras & Photo,772,Tripods,Berlebach BE3032 Tripod,,,,
97353269,1413331923,http://catalog.ebay.com/97353269,http://www.google.com/search?q=Slik 612212 Tripod,Cameras & Photo,772,Tripods,Slik 612212 Tripod,,,,
97353279,1413331849,http://catalog.ebay.com/97353279,http://www.google.com/search?q=Varizoom stealthpod Monopod,Cameras & Photo,772,Tripods,Varizoom stealthpod Monopod,,,,
97353281,1413330811,http://catalog.ebay.com/97353281,http://www.google.com/search?q=Hakuba HCFPPK Tripod,Cameras & Photo,772,Tripods,Hakuba HCFPPK Tripod,,,,
97353289,1413331881,http://catalog.ebay.com/97353289,http://www.google.com/search?q=Amvona AT0500 Tripod,Cameras & Photo,772,Tripods,Amvona AT0500 Tripod,,,,
97353299,1413331905,http://catalog.ebay.com/97353299,http://www.google.com/search?q=Adorama SQ800M Tripod,Cameras & Photo,772,Tripods,Adorama SQ800M Tripod,,,,
97353301,1413330899,http://catalog.ebay.com/97353301,http://www.google.com/search?q=Cartoni d605 Tripod,Cameras & Photo,772,Tripods,Cartoni d605 Tripod,,,,
97353319,1413331929,http://catalog.ebay.com/97353319,http://www.google.com/search?q=Vanguard DIGI-12 Tripod,Cameras & Photo,772,Tripods,Vanguard DIGI-12 Tripod,,,,
97353321,1413330749,http://catalog.ebay.com/97353321,http://www.google.com/search?q=Cartoni k711 Tripod,Cameras & Photo,772,Tripods,Cartoni k711 Tripod,,,,
97353331,1413330757,http://catalog.ebay.com/97353331,http://www.google.com/search?q=Vanguard VS-34 Tripod,Cameras & Photo,772,Tripods,Vanguard VS-34 Tripod,,,,
97353339,1413331953,http://catalog.ebay.com/97353339,http://www.google.com/search?q=Howard Miller 935 Tripod,Cameras & Photo,772,Tripods,Howard Miller 935 Tripod,,,,
97353341,1413330761,http://catalog.ebay.com/97353341,http://www.google.com/search?q=Targus TG-QR7 Tripod,Cameras & Photo,772,Tripods,Targus TG-QR7 Tripod,,,,
97353349,1413332005,http://catalog.ebay.com/97353349,http://www.google.com/search?q=Zhumell ZHWDF4 Tripod,Cameras & Photo,772,Tripods,Zhumell ZHWDF4 Tripod,,,,
97353351,1413330935,http://catalog.ebay.com/97353351,http://www.google.com/search?q=Bencher 852-07 Tripod,Cameras & Photo,772,Tripods,Bencher 852-07 Tripod,,,,
97353359,1413332029,http://catalog.ebay.com/97353359,http://www.google.com/search?q=Slik 611-820 Tripod,Cameras & Photo,772,Tripods,Slik 611-820 Tripod,,,,
97353361,1413330947,http://catalog.ebay.com/97353361,http://www.google.com/search?q=Cullmann 3081 Monopod,Cameras & Photo,772,Tripods,Cullmann 3081 Monopod,,,,
97353369,1413332037,http://catalog.ebay.com/97353369,http://www.google.com/search?q=Gitzo G1500 Tripod,Cameras & Photo,772,Tripods,Gitzo G1500 Tripod,,,,
97353371,1413330951,http://catalog.ebay.com/97353371,http://www.google.com/search?q=Gitzo GT2542L Tripod ,Cameras & Photo,772,Tripods,Gitzo GT2542L Tripod ,,,,
97353379,1413332053,http://catalog.ebay.com/97353379,http://www.google.com/search?q=Hama HA4001 Tripod,Cameras & Photo,772,Tripods,Hama HA4001 Tripod,,,,
97353381,1413330781,http://catalog.ebay.com/97353381,http://www.google.com/search?q=One Source Network OS-900 Tripod,Cameras & Photo,772,Tripods,One Source Network OS-900 Tripod,,,,
97353389,1413332101,http://catalog.ebay.com/97353389,http://www.google.com/search?q=Gitzo G1507 Tripod,Cameras & Photo,772,Tripods,Gitzo G1507 Tripod,,,,
97353391,1413330825,http://catalog.ebay.com/97353391,http://www.google.com/search?q=Libec LS382A Tripod ,Cameras & Photo,772,Tripods,Libec LS382A Tripod ,,,,
97353401,1413330841,http://catalog.ebay.com/97353401,http://www.google.com/search?q=Bogen Imaging 055XB484RC2 Tripod,Cameras & Photo,772,Tripods,Bogen Imaging 055XB484RC2 Tripod,,,,
97353409,1413331967,http://catalog.ebay.com/97353409,http://www.google.com/search?q=Libec LS55 Tripod,Cameras & Photo,772,Tripods,Libec LS55 Tripod,,,,
97353411,1413330873,http://catalog.ebay.com/97353411,http://www.google.com/search?q=Smith-Victor 700175 Tripod,Cameras & Photo,772,Tripods,Smith-Victor 700175 Tripod,,,,
97353419,1413331971,http://catalog.ebay.com/97353419,http://www.google.com/search?q=Orange Micro 70TRI00001 Tripod,Cameras & Photo,772,Tripods,Orange Micro 70TRI00001 Tripod,,,,
97353431,1413330909,http://catalog.ebay.com/97353431,http://www.google.com/search?q=Gitzo G1058 Tripod,Cameras & Photo,772,Tripods,Gitzo G1058 Tripod,,,,
97353439,1413332145,http://catalog.ebay.com/97353439,http://www.google.com/search?q=Velbon dck-dlx Tripod,Cameras & Photo,772,Tripods,Velbon dck-dlx Tripod,,,,
97353449,1413331987,http://catalog.ebay.com/97353449,http://www.google.com/search?q=Sachtler CINE2000M Tripod,Cameras & Photo,772,Tripods,Sachtler CINE2000M Tripod,,,,
97353459,1413331991,http://catalog.ebay.com/97353459,http://www.google.com/search?q=Sakar TOKTR072 Tripod,Cameras & Photo,772,Tripods,Sakar TOKTR072 Tripod,,,,
97353461,1413330965,http://catalog.ebay.com/97353461,http://www.google.com/search?q=Gitzo GT921 Tripod,Cameras & Photo,772,Tripods,Gitzo GT921 Tripod,,,,
97353469,1413332169,http://catalog.ebay.com/97353469,http://www.google.com/search?q=Velbon df10ml Tripod,Cameras & Photo,772,Tripods,Velbon df10ml Tripod,,,,
97353479,1413332177,http://catalog.ebay.com/97353479,http://www.google.com/search?q=Kodak 8062135 Tripod,Cameras & Photo,772,Tripods,Kodak 8062135 Tripod,,,,
97353481,1413331019,http://catalog.ebay.com/97353481,http://www.google.com/search?q=Nikon 70003713 Tripod,Cameras & Photo,772,Tripods,Nikon 70003713 Tripod,,,,
97353489,1413332023,http://catalog.ebay.com/97353489,http://www.google.com/search?q=Amvona AT0351W Tripod,Cameras & Photo,772,Tripods,Amvona AT0351W Tripod,,,,
97353491,1413331013,http://catalog.ebay.com/97353491,http://www.google.com/search?q=Slik 617-903 Tripod,Cameras & Photo,772,Tripods,Slik 617-903 Tripod,,,,
97353499,1413332189,http://catalog.ebay.com/97353499,http://www.google.com/search?q=Cartoni a404 Tripod,Cameras & Photo,772,Tripods,Cartoni a404 Tripod,,,,
97353509,1413332197,http://catalog.ebay.com/97353509,http://www.google.com/search?q=Cullmann 1002 Tripod,Cameras & Photo,772,Tripods,Cullmann 1002 Tripod,,,,
97353511,1413331031,http://catalog.ebay.com/97353511,http://www.google.com/search?q=Bencher 852-03 Tripod,Cameras & Photo,772,Tripods,Bencher 852-03 Tripod,,,,
97353519,1413332071,http://catalog.ebay.com/97353519,http://www.google.com/search?q=Amvona ATCF885 Tripod,Cameras & Photo,772,Tripods,Amvona ATCF885 Tripod,,,,
97353529,1413332225,http://catalog.ebay.com/97353529,http://www.google.com/search?q=Cartoni g107 Tripod,Cameras & Photo,772,Tripods,Cartoni g107 Tripod,,,,
97353531,1413331049,http://catalog.ebay.com/97353531,http://www.google.com/search?q=Cullmann 2550 Tripod,Cameras & Photo,772,Tripods,Cullmann 2550 Tripod,,,,
97353539,1413332087,http://catalog.ebay.com/97353539,http://www.google.com/search?q=Targus TG-CT4 Tripod,Cameras & Photo,772,Tripods,Targus TG-CT4 Tripod,,,,
97353541,1413331057,http://catalog.ebay.com/97353541,http://www.google.com/search?q=Sakar tr64 Tripod,Cameras & Photo,772,Tripods,Sakar tr64 Tripod,,,,
97353549,1413332091,http://catalog.ebay.com/97353549,http://www.google.com/search?q=Gitzo G1416 Tripod,Cameras & Photo,772,Tripods,Gitzo G1416 Tripod,,,,
97353551,1413331061,http://catalog.ebay.com/97353551,http://www.google.com/search?q=OConnor 1030b3f Tripod,Cameras & Photo,772,Tripods,OConnor 1030b3f Tripod,,,,
97353559,1413332241,http://catalog.ebay.com/97353559,http://www.google.com/search?q=OConnor 2575cv3 Tripod,Cameras & Photo,772,Tripods,OConnor 2575cv3 Tripod,,,,
97353569,1413332115,http://catalog.ebay.com/97353569,http://www.google.com/search?q=Televue tpt1017 Tripod,Cameras & Photo,772,Tripods,Televue tpt1017 Tripod,,,,
97353571,1413331081,http://catalog.ebay.com/97353571,http://www.google.com/search?q=Slik 615714 Tripod,Cameras & Photo,772,Tripods,Slik 615714 Tripod,,,,
97353579,1413332139,http://catalog.ebay.com/97353579,http://www.google.com/search?q=Bencher 852-43 Monopod,Cameras & Photo,772,Tripods,Bencher 852-43 Monopod,,,,
97353581,1413331095,http://catalog.ebay.com/97353581,http://www.google.com/search?q=Vinten 37753 Tripod,Cameras & Photo,772,Tripods,Vinten 37753 Tripod,,,,
97353589,1413332163,http://catalog.ebay.com/97353589,"http://www.google.com/search?q=Manfrotto 3130,755BK Tripod",Cameras & Photo,772,Tripods,"Manfrotto 3130,755BK Tripod",,,,
97353591,1413331105,http://catalog.ebay.com/97353591,http://www.google.com/search?q=Hakuba epodbl Tripod,Cameras & Photo,772,Tripods,Hakuba epodbl Tripod,,,,
97353599,1413332183,http://catalog.ebay.com/97353599,http://www.google.com/search?q=Cullmann 3080 Tripod ,Cameras & Photo,772,Tripods,Cullmann 3080 Tripod ,,,,
97353601,1413331137,http://catalog.ebay.com/97353601,http://www.google.com/search?q=Hakuba HCFPSL Tripod,Cameras & Photo,772,Tripods,Hakuba HCFPSL Tripod,,,,
97353609,1413332207,http://catalog.ebay.com/97353609,http://www.google.com/search?q=Cullmann cu2701 Tripod,Cameras & Photo,772,Tripods,Cullmann cu2701 Tripod,,,,
97353621,1413331153,http://catalog.ebay.com/97353621,http://www.google.com/search?q=Cullmann CU3300 Tripod,Cameras & Photo,772,Tripods,Cullmann CU3300 Tripod,,,,
97353629,1413332255,http://catalog.ebay.com/97353629,http://www.google.com/search?q=Cullmann 3090 Tripod,Cameras & Photo,772,Tripods,Cullmann 3090 Tripod,,,,
97353639,1413332279,http://catalog.ebay.com/97353639,http://www.google.com/search?q=Cullmann Magnesit 532 Tripod,Cameras & Photo,772,Tripods,Cullmann Magnesit 532 Tripod,,,,
97353641,1413331171,http://catalog.ebay.com/97353641,http://www.google.com/search?q=Kinamax GN-TSFC Tripod,Cameras & Photo,772,Tripods,Kinamax GN-TSFC Tripod,,,,
97353649,1413332299,http://catalog.ebay.com/97353649,http://www.google.com/search?q=Cartoni z108 Tripod,Cameras & Photo,772,Tripods,Cartoni z108 Tripod,,,,
97353651,1413331187,http://catalog.ebay.com/97353651,http://www.google.com/search?q=Sakar tr036cl Tripod,Cameras & Photo,772,Tripods,Sakar tr036cl Tripod,,,,
