Campaign Name,Campaign ID,Domain,Number of Keywords,Campaign Keywords,Mapping-ID,Optional Field 1,Optional Field 2,Optional Field 3,Optional Field 4
7zip-download.com,,7zip-download.com,20,7zip-download.com,7zip-download.com,7 zip
amule-download.com,,amule-download.com,20,amule-download.com,amule-download.com,amule
aresdownloader.org,,aresdownloader.org,20,aresdownloader.org,aresdownloader.org,ares (galaxy)
assaultcubes.com,,assaultcubes.com,20,assaultcubes.com,assaultcubes.com,assault cube
audacity-download.com,,audacity-download.com,20,audacity-download.com,audacity-download.com,audacity
blender-download.com,,blender-download.com,20,blender-download.com,blender-download.com,Blender
bsplayer-download.com,,bsplayer-download.com,20,bsplayer-download.com,bsplayer-download.com,bsplayer
cabos-downloader.com,,cabos-downloader.com,20,cabos-downloader.com,cabos-downloader.com,Cabos
calibredownload.com,,calibredownload.com,20,calibredownload.com,calibredownload.com,Calibre
emule-software.net,,emule-software.net,20,emule-software.net,emule-software.net,emule
file-zilla.com,,file-zilla.com,20,file-zilla.com,file-zilla.com,filezilla
freemind-download.com,,freemind-download.com,20,freemind-download.com,freemind-download.com,Freemind
gaimdownload.com,,gaimdownload.com,20,gaimdownload.com,gaimdownload.com,Gaim
gimp-download.com,,gimp-download.com,20,gimp-download.com,gimp-download.com,GIMP
gnucash.net,,gnucash.net,20,gnucash.net,gnucash.net,gnucash
handbrakesoftware.com,,handbrakesoftware.com,20,handbrakesoftware.com,handbrakesoftware.com,Handbrake
kmplayer-download.com,,kmplayer-download.com,20,kmplayer-download.com,kmplayer-download.com,km player
mediaplayerclassicsoftware.com,,mediaplayerclassicsoftware.com,20,mediaplayerclassicsoftware.com,mediaplayerclassicsoftware.com,Media Player Classic
mirandaim.net,,mirandaim.net,20,mirandaim.net,mirandaim.net,miranda
mplayersoftware.com,,mplayersoftware.com,20,mplayersoftware.com,mplayersoftware.com,mplayer
notepad-pp.com,,notepad-pp.com,20,notepad-pp.com,notepad-pp.com,notepad++
ooodocs.org,,ooodocs.org,20,ooodocs.org,ooodocs.org,openoffice
opensourcesoft.org,,opensourcesoft.org,40,opensourcesoft.org,opensourcesoft.org,open source software
pdfcreator-download.com,,pdfcreator-download.com,20,pdfcreator-download.com,pdfcreator-download.com,PDFCreator
pidgin-im.com,,pidgin-im.com,20,pidgin-im.com,pidgin-im.com,Pidgin
putty-download.com,,putty-download.com,20,putty-download.com,putty-download.com,PuTTY
sm-player.com,,sm-player.com,20,sm-player.com,sm-player.com,sm player
tightvncdownload.com,,tightvncdownload.com,20,tightvncdownload.com,tightvncdownload.com,TightVNC
towerdefender.org,,towerdefender.org,20,towerdefender.org,towerdefender.org,(desktop) tower defense
virtualdub-download.com,,virtualdub-download.com,20,virtualdub-download.com,virtualdub-download.com,VirtualDUB
vlc-download.com,,vlc-download.com,20,vlc-download.com,vlc-download.com,vlc (player)
x-chat-software.com,,x-chat-software.com,20,x-chat-software.com,x-chat-software.com,X-Chat
x-vid.org,,x-vid.org,20,x-vid.org,x-vid.org,xvid
youtubevideo-download.com,,youtubevideo-download.com,20,youtubevideo-download.com,youtubevideo-download.com,YouTube Downloader
