Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text
hipmunk hotels anchorage,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Anchorage-AK_Alaska-Backpackers-Inn-509bfc5966edc84661007064-Reviews,hipmunk.com/Independent-Hotels-in-Anchorage-AK_GuestHouse-Inn-Suites-Anchorage-509bfd7166edc84661014fe8-Reviews,hipmunk.com/Independent-Hotels-in-Anchorage-AK_Westmark-Anchorage-Hotel-509bfd0a66edc8466100fc70-Reviews,hipmunk.com/Independent-Hotels-in-Anchorage-AK_Anchorage-Grand-Hotel-509bff0366edc846610272a5-Reviews,hipmunk.com/Independent-Hotels-in-Anchorage-AK_Extended-Stay-America-Anchorage-Downtown-509bfe6f66edc8466102077b-Reviews
hipmunk hotels flagstaff,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Canyon-Inn-509bfbdb66edc84661000998-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Little-America-Flagstaff-509bfd3166edc84661011bb9-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Wyndham-Flagstaff-5310aa0dc0852e2e420000a8-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Highland-Country-Inn-509bfc0466edc84661002cc1-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Hotel-Aspen-InnSuites-FlagstaffGrand-Canyon-509c00f866edc846610408e5-Reviews
hipmunk hotels phoenix,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Phoenix-AZ_Lexington-Hotel-Central-Phoenix-509bfed366edc84661024dbe-Reviews,hipmunk.com/Independent-Hotels-in-Phoenix-AZ_Royal-Palms-Resort-and-Spa-Destination-Hotels-Resorts-509bff4966edc8466102a2e7-Reviews,hipmunk.com/Independent-Hotels-in-Phoenix-AZ_The-Clarendon-Hotel-and-Spa-51224560a0a994611c000078-Reviews,hipmunk.com/Independent-Hotels-in-Phoenix-AZ_Hotel-San-Carlos-Downtown-Convention-Center-525532347f2c6c15c300011d-Reviews,hipmunk.com/Independent-Hotels-in-Sedona-AZ_Poco-Diablo-Resort-509bfcb266edc8466100b881-Reviews
hipmunk hotels carmel,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Carmel-CA_Carmel-Village-Inn-509bfdcf66edc846610194ab-Reviews,hipmunk.com/Independent-Hotels-in-Carmel-CA_Carmel-Valley-Ranch-50edd8b6bb290e795c0000d0-Reviews,hipmunk.com/Independent-Hotels-in-Carmel-CA_Carmel-Mission-Inn-509bfdc566edc84661019199-Reviews,hipmunk.com/Independent-Hotels-in-Carmel-CA_Carmel-Wayfarer-Inn-509bfe5666edc8466101f7b5-Reviews,hipmunk.com/Independent-Hotels-in-Carmel-CA_La-Playa-Carmel-509bfd3a66edc846610123a0-Reviews
hipmunk hotels la jolla,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-La-Jolla-CA_La-Jolla-Cove-Suites-509bff4a66edc8466102a32d-Reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_La-Valencia-Hotel-509bfefb66edc84661026b69-Reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_Pantai-Inn-5367dfc1c0852e3a4d0000c0-Reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_Estancia-La-Jolla-Hotel-Spa-509bfdcc66edc84661019380-Reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_Grande-Colonial-Hotel-509bfe7d66edc84661021219-Reviews
hipmunk hotels laguna beach,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Laguna-Beach-CA_Laguna-Beach-House-509bfd3566edc84661011f64-Reviews,hipmunk.com/Independent-Hotels-in-Laguna-Beach-CA_Hotel-Laguna-509bff2966edc846610290c9-Reviews,hipmunk.com/Independent-Hotels-in-Laguna-Beach-CA_Inn-at-Laguna-Beach-509bfc9e66edc8466100a812-Reviews,hipmunk.com/Independent-Hotels-in-Laguna-Beach-CA_Pacific-Edge-Hotel-on-Laguna-Beach-a-Joie-de-Vivre-Hotel-509bfe8066edc846610213ea-Reviews,hipmunk.com/Independent-Hotels-in-Laguna-Beach-CA_Surf-And-Sand-Resort-509bfe8366edc846610215c8-Reviews
hipmunk hotels long beach,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Long-Beach-CA_Hotel-Current-509bfdc266edc84661018e70-Reviews,hipmunk.com/Independent-Hotels-in-Long-Beach-CA_The-Queen-Mary-509bfdc366edc84661018f52-Reviews,hipmunk.com/Independent-Hotels-in-Long-Beach-CA_The-Varden-A-Boutique-Hotel-509bfea966edc846610231fb-Reviews,hipmunk.com/Independent-Hotels-in-Long-Beach-CA_Royal-Inn-Motel-Long-Beach-509bfcfd66edc8466100f0fb-Reviews,hipmunk.com/Independent-Hotels-in-Long-Beach-CA_Seaport-Marina-Hotel-509bfed866edc8466102517f-Reviews
hipmunk hotels monterey,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Monterey-CA_Portola-Hotel-Spa-at-Monterey-Bay-509bfe6566edc846610202ee-Reviews,hipmunk.com/Independent-Hotels-in-Monterey-CA_The-Monterey-Hotel-509bfe6966edc8466102066d-Reviews,hipmunk.com/Independent-Hotels-in-Monterey-CA_Bay-Park-Hotel-509bff2466edc84661028bf3-Reviews,hipmunk.com/Independent-Hotels-in-Monterey-CA_Carmel-Hill-Del-Monte-Pines-509bfe8966edc84661021ada-Reviews,hipmunk.com/Independent-Hotels-in-Monterey-CA_The-Stevenson-Monterey-Hotel-509c013a66edc84661044064-Reviews
hipmunk hotels napa,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Napa-CA_Wine-Valley-Lodge-509bfe4466edc8466101ea80-Reviews,hipmunk.com/Independent-Hotels-in-Napa-CA_Napa-Discovery-Inn-509bfce366edc8466100dd06-Reviews,hipmunk.com/Independent-Hotels-in-Napa-CA_3-Palms-Napa-Valley-Hotel-Suites-509bfc8366edc84661009354-Reviews,hipmunk.com/Independent-Hotels-in-Napa-CA_Napa-River-Inn-509bff1966edc84661028322-Reviews,hipmunk.com/Independent-Hotels-in-Napa-CA_River-Terrace-Inn-A-Noble-House-Hotel-509bfefb66edc84661026bb5-Reviews
hipmunk hotels colorado springs,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Colorado-Springs-CO_Cheyenne-Mountain-Resort-509bfdc266edc84661018edf-Reviews,hipmunk.com/Independent-Hotels-in-Colorado-Springs-CO_Garden-of-the-Gods-Club-and-Resort-509bfeb566edc84661023823-Reviews,hipmunk.com/Independent-Hotels-in-Colorado-Springs-CO_The-Broadmoor-509bfe8566edc84661021772-Reviews,hipmunk.com/Independent-Hotels-in-Colorado-Springs-CO_The-Academy-Hotel-Colorado-Springs-509bff1c66edc846610284e8-Reviews,hipmunk.com/Independent-Hotels-in-Colorado-Springs-CO_Spurs-n-Lace-Inn-509bfeff66edc84661026f5c-Reviews
