Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text
boutique hotels in the US Albuquerque,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-albuquerque-nm_hotel-andaluz-509bfd7166edc84661014f74-reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Nativo-Lodge-509bfe9766edc84661022610-Reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Hotel-Parq-Central-509bff1d66edc84661028685-Reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Clubhouse-Inn-Albuquerque-509bfea366edc84661022ced-Reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Hotel-Albuquerque-at-Old-Town-509bfe3266edc8466101dd9f-Reviews
boutique hotels in the US Baltimore,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-baltimore-md_royal-sonesta-harbor-court-baltimore-509bfdd566edc84661019927-reviews,hipmunk.com/Independent-Hotels-in-Baltimore-MD_Envy-Hotel-509bfe3b66edc8466101e45c-Reviews,hipmunk.com/Independent-Hotels-in-Baltimore-MD_Blue-Door-on-Baltimore-50ed1af4bb290e028a00000c-Reviews,hipmunk.com/Independent-Hotels-in-Baltimore-MD_Hotel-Monaco-Baltimore-a-Kimpton-Hotel-509bfdc766edc846610192df-Reviews,hipmunk.com/Independent-Hotels-in-Baltimore-MD_Biltmore-Suites-Hotel-509bfc3266edc846610052b9-Reviews
boutique hotels in the US Bellevue,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-bellevue-wa/hilton-bellevue-509c00ef66edc846610405a4-reviews,hipmunk.com/hotels-in-bellevue-wa/hyatt-regency-bellevue-509bfc1c66edc84661003ed5-reviews,hipmunk.com/Independent-Hotels-in-Bellevue-WA_Red-Lion-Hotel-Bellevue-509bff4a66edc8466102a39c-Reviews,hipmunk.com/Independent-Hotels-in-Bellevue-WA_Silver-Cloud-Hotel-Bellevue-Eastgate-509bfe9b66edc846610228f5-Reviews,hipmunk.com/Independent-Hotels-in-Bellevue-WA_Coast-Bellevue-Hotel-509bfdc266edc84661018e4f-Reviews
boutique hotels in the US Brooklyn,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-brooklyn-ny_hotel-le-jolie-509bfe4c66edc8466101f12c-reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Condor-Hotel-509bfecd66edc846610248c9-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Hotel-Le-Bleu-509bfe3c66edc8466101e51e-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_NY-Moore-Hostel-509bff9b66edc8466102e25d-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Lxure-Brooklyn-Suites-509c006266edc84661038c9b-Reviews
boutique hotels in the US Brooklyn,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-brooklyn-ny/aloft-new-york-brooklyn-hotel-509bfd7266edc84661015044-reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_La-Quinta-Inn-Suites-Brooklyn-Downtown-509bfe1166edc8466101c3eb-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Riviera-Motor-Inn-Brooklyn-509bfe8a66edc84661021b54-Reviews,hipmunk.com/Independent-Hotels-in-Baltimore-MD_Best-Western-Plus-BWI-Airport-North-Inn-Suites-509bfdd266edc846610196fd-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Eves-Place-509c004466edc84661037072-Reviews
boutique hotels in the US Flagstaff,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-flagstaff-az_little-america-flagstaff-509bfd3166edc84661011bb9-reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Budget-Inn-509bfcd166edc8466100ce16-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Highland-Country-Inn-509bfc0466edc84661002cc1-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Canyon-Inn-509bfbdb66edc84661000998-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Hotel-Aspen-InnSuites-FlagstaffGrand-Canyon-509c00f866edc846610408e5-Reviews
boutique hotels in the US Houston,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-houston-tx_omni-houston-hotel-509bfdbf66edc84661018d09-reviews,hipmunk.com/hotels-in-houston-tx/the-st-regis-houston-509bfe1f66edc8466101cebf-reviews,hipmunk.com/hotels-in-houston-tx/hilton-houston-post-oak-509bfdc366edc84661018ff3-reviews,hipmunk.com/hotels-in-houston-tx/hyatt-regency-houston-509bfdd066edc846610195a5-reviews,hipmunk.com/hotels-in-houston-tx/hilton-americas-houston-509bfea966edc8466102318f-reviews
boutique hotels in the US Kansas City,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Kansas-City-MO_Adams-Mark-Hotel-Conference-Center-509bfdb266edc8466101846a-Reviews,hipmunk.com/Independent-Hotels-in-Kansas-City-MO_Hotel-Phillips-509bfc5266edc84661006afc-Reviews,hipmunk.com/Independent-Hotels-in-Kansas-City-MO_Hotel-Sorella-Country-Club-Plaza-525526e77f2c6c53460000ab-Reviews,hipmunk.com/hotels-in-kansas-city-mo/holiday-inn-country-club-plaza-509bfdd266edc8466101971b-reviews,
boutique hotels in the US La Jolla,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-La-Jolla-CA_Empress-Hotel-of-La-Jolla-509bfcda66edc8466100d597-Reviews,hipmunk.com/independent-hotels-in-la-jolla-ca_the-lodge-at-torrey-pines-509bfdce66edc8466101945c-reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_Estancia-La-Jolla-Hotel-Spa-509bfdcc66edc84661019380-Reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_La-Jolla-Beach-and-Tennis-Club-509bfcd966edc8466100d486-Reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_La-Jolla-Shores-Hotel-509bfe9466edc846610222cf-Reviews
boutique hotels in the US Los Angeles,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-los-angeles-ca_the-dixie-hollywood-509bfe4e66edc8466101f287-reviews,hipmunk.com/independent-hotels-in-los-angeles-ca_stay-on-main-509bfd7166edc84661015008-reviews,hipmunk.com/independent-hotels-in-los-angeles-ca_hotel-wilshire-a-kimpton-hotel-509bffe466edc84661031d1d-reviews,hipmunk.com/hotels-in-los-angeles-ca/ace-hotel-downtown-los-angeles-53037e5ec0852e1aaf0000a1-reviews,hipmunk.com/hotels-in-los-angeles-ca/hyatt-regency-century-plaza-509bff4966edc8466102a2a3-reviews
