Keyword,Sub Keywords,Article Title
Gucci glasses,"Gucci eyewear glasses, designer eyeglass frames, brand name glasses",Awesome Gucci Glasses
Armani glasses,"Armani frames, Armani Exchange glasses, brand name eyeglasses",Cool and Chic Armani Eyewear
Tommy Hilfiger glasses,"designer eyeglass frames, brand name glasses, eyewear for men",Choose Tommy Hilfiger for Stylish Eyewear
reading glasses,"reading eyeglasses, glasses for reading, reading glasses for women, designer reading glasses",Help! I Can't Read the Menu Anymore
brand name glasses,"women's glasses, women's eyeglasses, designer frames",Celebrity Style; Eyewear of the Rich & Famous
men's prescription sunglasses,"eyewear for men, designer sunglasses frames, prescription lenses sunglasses",Tom Cruise Popularized Aviator Sunglasses
