Task Name,Directions,Link,Link,Link,Link,Link
boutique hotels in the US Washington,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-sea-tac-wa/doubletree-by-hilton-seattle-airport-509bfdd366edc84661019747-reviews,hipmunk.com/hotels-in-seattle-wa/quality-inn-suites-hotel-seattle-center-509bfcc866edc8466100c71c-reviews,hipmunk.com/hotels-in-spokane-wa/doubletree-by-hilton-spokane-city-center-509bfede66edc84661025606-reviews,hipmunk.com/independent-hotels-in-seattle-wa_mayflower-park-hotel-509bff4b66edc8466102a3f1-reviews,hipmunk.com/hotels-in-sea-tac-wa/seattle-airport-marriott-509bfdcc66edc84661019337-reviews
boutique hotels in the US Maryland,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-newport-coast-ca_the-resort-at-pelican-hill-509bff2b66edc846610291e8-reviews,hipmunk.com/hotels-in-baltimore-md/best-western-plus-hotel-conference-center-509c00e666edc8466103fe8d-reviews,hipmunk.com/hotels-in-bethesda-md/hyatt-regency-bethesda-509bff0466edc84661027385-reviews,hipmunk.com/independent-hotels-in-newport-coast-ca_the-resort-at-pelican-hill-509bff2b66edc846610291e8-reviews,hipmunk.com/independent-hotels-in-baltimore-md_hotel-monaco-baltimore-a-kimpton-hotel-509bfdc766edc846610192df-reviews
boutique hotels in the US California,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-anaheim-ca_alamo-inn-suites-509bfe6466edc84661020215-reviews,hipmunk.com/hotels-in-anaheim-ca/doubletree-suites-by-hilton-anaheim-rsrt-conv-cntr-50edd8b6bb290e795c0000ca-reviews,hipmunk.com/hotels-in-burlingame-ca/embassy-suites-san-francisco-airport-waterfront-509bfea666edc84661022ee5-reviews,hipmunk.com/hotels-in-costa-mesa-ca/costa-mesa-marriott-509bfdcf66edc846610194fd-reviews,hipmunk.com/independent-hotels-in-costa-mesa-ca_ayres-hotel-suites-costa-mesanewport-beach-509bfd7466edc846610151bf-reviews
boutique hotels in the US Florida,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-clearwater-beach-fl_sandpearl-resort-509bfdbf66edc84661018c53-reviews,hipmunk.com/independent-hotels-in-daytona-beach-fl_mayan-inn-daytona-beach-509c013066edc84661043703-reviews,hipmunk.com/hotels-in-miami-fl/conrad-miami-509c013066edc84661043704-reviews,hipmunk.com/hotels-in-miami-beach-fl/shelborne-wyndham-grand-south-beach-509c013066edc846610436ea-reviews,hipmunk.com/hotels-in-orlando-fl/sheraton-suites-orlando-airport-509bfbdb66edc84661000963-reviews
boutique hotels in the US Virginia,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-alexandria-va/hilton-alexandria-old-town-509bfdc366edc84661018f48-reviews,hipmunk.com/hotels-in-arlington-va/holiday-inn-national-airport-crystal-city-509bfdf666edc8466101b02f-reviews,hipmunk.com/hotels-in-arlington-va/holiday-inn-rosslyn-at-key-bridge-509bfdd266edc84661019680-reviews,hipmunk.com/hotels-in-richmond-va/richmond-marriott-509bfc1566edc84661003aa5-reviews,hipmunk.com/hotels-in-alexandria-va/the-westin-alexandria-509bff4566edc84661029f35-reviews
boutique hotels in the US California,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/independent-hotels-in-anaheim-ca_alamo-inn-suites-509bfe6466edc84661020215-reviews,hipmunk.com/independent-hotels-in-anaheim-ca_la-quinta-inn-suites-anaheim-509bfdcf66edc84661019524-reviews,hipmunk.com/hotels-in-anaheim-ca/doubletree-suites-by-hilton-anaheim-rsrt-conv-cntr-50edd8b6bb290e795c0000ca-reviews,hipmunk.com/hotels-in-costa-mesa-ca/costa-mesa-marriott-509bfdcf66edc846610194fd-reviews,hipmunk.com/hotels-in-irvine-ca/hilton-irvine-orange-county-airport-509bfdfd66edc8466101b5d5-reviews
boutique hotels in the US Florida,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-key-west-fl/best-western-key-ambassador-resort-inn-509bfdc066edc84661018d58-reviews,hipmunk.com/hotels-in-miami-fl/the-ritz-carlton-coconut-grove-miami-509bfefb66edc84661026b74-reviews,hipmunk.com/hotels-in-miami-fl/doubletree-by-hilton-grand-hotel-biscayne-bay-509bfdce66edc84661019446-reviews,hipmunk.com/hotels-in-orlando-fl/sheraton-suites-orlando-airport-509bfbdb66edc84661000963-reviews,hipmunk.com/hotels-in-miami-beach-fl/shelborne-wyndham-grand-south-beach-509c013066edc846610436ea-reviews
boutique hotels in the US Texas,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-austin-tx/hilton-austin-airport-509bfea466edc84661022d94-reviews,hipmunk.com/hotels-in-austin-tx/crowne-plaza-austin-509bfdd766edc8466101993c-reviews,hipmunk.com/hotels-in-austin-tx/hampton-inn-and-suites-austin-downtown-509bfe1e66edc8466101cdce-reviews,hipmunk.com/hotels-in-houston-tx/hilton-houston-post-oak-509bfdc366edc84661018ff3-reviews,hipmunk.com/hotels-in-houston-tx/hilton-americas-houston-509bfea966edc8466102318f-reviews
boutique hotels in the US North Carolina,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-asheville-nc/crowne-plaza-resort-asheville-509bfdbf66edc84661018cfb-reviews,hipmunk.com/independent-hotels-in-charlotte-nc_the-dunhill-hotel-509bff4466edc84661029e8a-reviews,hipmunk.com/hotels-in-durham-nc/hilton-durham-near-duke-university-509bfed566edc84661024ec8-reviews,hipmunk.com/independent-hotels-in-durham-nc_washington-duke-inn-golf-club-509bfe2b66edc8466101d87c-reviews,hipmunk.com/independent-hotels-in-greensboro-nc_ohenry-hotel-509bfbdc66edc84661000a7c-reviews
boutique hotels in the US North Carolina,"These are your Boutique Hotels assignments. In the fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Once it is Editor Approved you can publish and submit your link through this form: https://docs.google.com/a/steelcast.com/forms/d/1yy3ZCO3PxUTv_ZeiNVEw0AGdAX7w4lgyps9F8rtD2Eg/viewform Thanks everyone!",hipmunk.com/hotels-in-asheville-nc/crowne-plaza-resort-asheville-509bfdbf66edc84661018cfb-reviews,hipmunk.com/independent-hotels-in-greensboro-nc_ohenry-hotel-509bfbdc66edc84661000a7c-reviews,hipmunk.com/independent-hotels-in-greensboro-nc_proximity-hotel-509bff2466edc84661028be6-reviews,hipmunk.com/Independent-Hotels-in-Blowing-Rock-NC_Cliff-Dwellers-Inn-509bfe3b66edc8466101e4ab-Reviews,hipmunk.com/Independent-Hotels-in-Boone-NC_The-Inn-at-Crestwood-509c000566edc8466103397a-Reviews
